panel_id,panel_description,rank_within_panel,taxon_long,genus,family,species_short
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,14,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis,Bifidobacterium,Bifidobacteriaceae,Bifidobacterium animalis
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,15,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,Bifidobacterium,Bifidobacteriaceae,Bifidobacterium bifidum
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,16,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve,Bifidobacterium,Bifidobacteriaceae,Bifidobacterium breve
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,17,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum,Bifidobacterium,Bifidobacteriaceae,Bifidobacterium catenulatum
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,18,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium,Bifidobacterium,Bifidobacteriaceae,Bifidobacterium dentium
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,19,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,Bifidobacterium,Bifidobacteriaceae,Bifidobacterium longum
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,20,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,Bifidobacterium,Bifidobacteriaceae,Bifidobacterium pseudocatenulatum
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,21,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae,Scardovia,Bifidobacteriaceae,Scardovia wiggsiae
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,22,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa,Rothia,Micrococcaceae,Rothia dentocariosa
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,23,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,Rothia,Micrococcaceae,Rothia mucilaginosa
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,24,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum,Atopobium,Atopobiaceae,Atopobium parvulum
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,25,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_rimae,Atopobium,Atopobiaceae,Atopobium rimae
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,26,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_scatoligenes,Olsenella,Atopobiaceae,Olsenella scatoligenes
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,27,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,Collinsella,Coriobacteriaceae,Collinsella aerofaciens
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,28,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis,Collinsella,Coriobacteriaceae,Collinsella intestinalis
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,29,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_stercoris,Collinsella,Coriobacteriaceae,Collinsella stercoris
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,30,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Enorma_massiliensis,Enorma,Coriobacteriaceae,Enorma massiliensis
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,31,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__[Collinsella]_massiliensis,Enorma,Coriobacteriaceae,[Collinsella] massiliensis
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,32,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,Adlercreutzia,Eggerthellaceae,Adlercreutzia equolifaciens
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,33,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter|s__Asaccharobacter_celatus,Asaccharobacter,Eggerthellaceae,Asaccharobacter celatus
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,34,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Denitrobacterium|s__Denitrobacterium_detoxificans,Denitrobacterium,Eggerthellaceae,Denitrobacterium detoxificans
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,35,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta,Eggerthella,Eggerthellaceae,Eggerthella lenta
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,36,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus_caecimuris,Enterorhabdus,Eggerthellaceae,Enterorhabdus caecimuris
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,37,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,Gordonibacter,Eggerthellaceae,Gordonibacter pamelaeae
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,38,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_isoflavoniconvertens,Slackia,Eggerthellaceae,Slackia isoflavoniconvertens
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,39,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,Bacteroides,Bacteroidaceae,Bacteroides caccae
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,40,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus,Bacteroides,Bacteroidaceae,Bacteroides cellulosilyticus
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,41,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus,Bacteroides,Bacteroidaceae,Bacteroides clarus
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,42,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola,Bacteroides,Bacteroidaceae,Bacteroides coprocola
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,43,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus,Bacteroides,Bacteroidaceae,Bacteroides coprophilus
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,44,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,Bacteroides,Bacteroidaceae,Bacteroides dorei
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,45,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii,Bacteroides,Bacteroidaceae,Bacteroides eggerthii
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,46,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis,Bacteroides,Bacteroidaceae,Bacteroides faecis
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,47,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis_CAG_32,Bacteroides,Bacteroidaceae,Bacteroides faecis CAG 32
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,48,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii,Bacteroides,Bacteroidaceae,Bacteroides finegoldii
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,49,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,Bacteroides,Bacteroidaceae,Bacteroides fragilis
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,50,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_galacturonicus,Bacteroides,Bacteroidaceae,Bacteroides galacturonicus
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,51,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis,Bacteroides,Bacteroidaceae,Bacteroides intestinalis
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,52,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis,Bacteroides,Bacteroidaceae,Bacteroides massiliensis
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,53,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii,Bacteroides,Bacteroidaceae,Bacteroides nordii
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,54,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,Bacteroides,Bacteroidaceae,Bacteroides ovatus
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,55,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius,Bacteroides,Bacteroidaceae,Bacteroides plebeius
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,56,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae,Bacteroides,Bacteroidaceae,Bacteroides salyersiae
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,57,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_CAG_144,Bacteroides,Bacteroidaceae,Bacteroides sp CAG 144
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,58,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,Bacteroides,Bacteroidaceae,Bacteroides stercoris
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,59,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,Bacteroides,Bacteroidaceae,Bacteroides thetaiotaomicron
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,60,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,Bacteroides,Bacteroidaceae,Bacteroides uniformis
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,61,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,Bacteroides,Bacteroidaceae,Bacteroides vulgatus
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,62,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens,Bacteroides,Bacteroidaceae,Bacteroides xylanisolvens
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,63,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis,Barnesiella,Barnesiellaceae,Barnesiella intestinihominis
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,64,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_fastidiosus,Coprobacter,Barnesiellaceae,Coprobacter fastidiosus
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,65,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_secundus,Coprobacter,Barnesiellaceae,Coprobacter secundus
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,66,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_synergistica,Butyricimonas,Odoribacteraceae,Butyricimonas synergistica
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,67,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa,Butyricimonas,Odoribacteraceae,Butyricimonas virosa
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,68,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus,Odoribacter,Odoribacteraceae,Odoribacter splanchnicus
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,69,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica,Porphyromonas,Porphyromonadaceae,Porphyromonas asaccharolytica
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,70,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Sanguibacteroides|s__Sanguibacteroides_justesenii,Sanguibacteroides,Porphyromonadaceae,Sanguibacteroides justesenii
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,71,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara,Paraprevotella,Prevotellaceae,Paraprevotella clara
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,72,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila,Paraprevotella,Prevotellaceae,Paraprevotella xylaniphila
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,73,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri,Prevotella,Prevotellaceae,Prevotella copri
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,74,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_1185,Prevotella,Prevotellaceae,Prevotella sp CAG 1185
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,75,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_279,Prevotella,Prevotellaceae,Prevotella sp CAG 279
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,76,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_520,Prevotella,Prevotellaceae,Prevotella sp CAG 520
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,77,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea,Prevotella,Prevotellaceae,Prevotella stercorea
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,78,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii,Alistipes,Rikenellaceae,Alistipes finegoldii
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,79,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus,Alistipes,Rikenellaceae,Alistipes indistinctus
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,80,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_inops,Alistipes,Rikenellaceae,Alistipes inops
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,81,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii,Alistipes,Rikenellaceae,Alistipes onderdonkii
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,82,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,Alistipes,Rikenellaceae,Alistipes putredinis
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,83,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii,Alistipes,Rikenellaceae,Alistipes shahii
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,84,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis,Parabacteroides,Tannerellaceae,Parabacteroides distasonis
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,85,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii,Parabacteroides,Tannerellaceae,Parabacteroides goldsteinii
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,86,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_gordonii,Parabacteroides,Tannerellaceae,Parabacteroides gordonii
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,87,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_johnsonii,Parabacteroides,Tannerellaceae,Parabacteroides johnsonii
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,88,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae,Parabacteroides,Tannerellaceae,Parabacteroides merdae
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,89,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_sp_CAG_409,Parabacteroides,Tannerellaceae,Parabacteroides sp CAG 409
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,90,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_haemolysans,Gemella,Bacillales_unclassified,Gemella haemolysans
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,91,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_morbillorum,Gemella,Bacillales_unclassified,Gemella morbillorum
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,92,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_sanguinis,Gemella,Bacillales_unclassified,Gemella sanguinis
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,93,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_elegans,Granulicatella,Carnobacteriaceae,Granulicatella elegans
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,94,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis,Enterococcus,Enterococcaceae,Enterococcus faecalis
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,95,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium,Enterococcus,Enterococcaceae,Enterococcus faecium
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,96,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii,Lactobacillus,Lactobacillaceae,Lactobacillus delbrueckii
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,97,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_fermentum,Lactobacillus,Lactobacillaceae,Lactobacillus fermentum
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,98,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gasseri,Lactobacillus,Lactobacillaceae,Lactobacillus gasseri
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,99,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_mucosae,Lactobacillus,Lactobacillaceae,Lactobacillus mucosae
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,100,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_paragasseri,Lactobacillus,Lactobacillaceae,Lactobacillus paragasseri
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,101,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rogosae,Lactobacillus,Lactobacillaceae,Lactobacillus rogosae
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,102,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_salivarius,Lactobacillus,Lactobacillaceae,Lactobacillus salivarius
