taxon_long,coef_crc_clr_study_only,pvalue_study_only,qvalue_bh_study_only,direction_study_only,genus,species_short,coef_crc_clr_study_age_bmi_gender,se_hc3_coef_crc_clr_study_age_bmi_gender,pvalue_coef_crc_clr_study_age_bmi_gender,qvalue_bh_coef_crc_clr_study_age_bmi_gender,direction_coef_crc_clr_study_age_bmi_gender,baseline_sign,covariate_sign,direction_concordant
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra,2.1325455881719457,6.091524866719365e-44,1.8335489848825287e-41,CRC_higher,Parvimonas,Parvimonas micra,2.12979508792393,0.1590684050474014,6.995122172596418e-41,2.1055317739515214e-38,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_tayi,0.8759761558124657,7.524292981690196e-08,1.617722991063392e-06,CRC_higher,Eisenbergiella,Eisenbergiella tayi,0.92062726370652,0.164472392379778,2.1751786653052363e-08,5.036375217360585e-07,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens,-1.3306617593783752,8.955500329022113e-08,1.7970703993571038e-06,control_higher,Eubacterium,Eubacterium eligens,-1.3867179136003958,0.2531692248233415,4.3153601715833386e-08,9.278024368904176e-07,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus_group,0.8097442505767353,2.3770092101837159e-07,4.471748576658114e-06,CRC_higher,Streptococcus,Streptococcus anginosus group,0.7174707321416541,0.1608074114734786,8.132073002699407e-06,0.0001112615442642,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans,0.7534466174658278,5.41620598349963e-07,9.58987059431405e-06,CRC_higher,Ruthenibacterium,Ruthenibacterium lactatiformans,0.7922234537271018,0.1518045739835469,1.801774233109824e-07,3.3895877760378563e-06,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis,-0.4496082874349492,6.418543699074069e-07,1.0733231407896082e-05,control_higher,Romboutsia,Romboutsia ilealis,-0.472270292560258,0.0911755197366813,2.2213259944074687e-07,3.933053672450871e-06,control_higher,-1.0,-1.0,True
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Aeriscardovia|s__Aeriscardovia_aeriphila,-0.3773387893440382,7.96260010240668e-07,1.2614434899075846e-05,control_higher,Aeriscardovia,Aeriscardovia aeriphila,-0.3731668865166988,0.0788374640348905,2.2082242482889587e-06,3.49829209860514e-05,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi,0.8626453108791977,1.817043255758862e-06,2.734650099917087e-05,CRC_higher,Hungatella,Hungatella hathewayi,0.9001011941408015,0.182076051279681,7.671454290730169e-07,1.2828376341721004e-05,CRC_higher,1.0,1.0,True
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,1.127596415635075,7.609160119778707e-06,0.0001090646283834,CRC_higher,Bacteroides,Bacteroides fragilis,1.152432351897711,0.2576135254433415,7.695200978546187e-06,0.0001102978806924,CRC_higher,1.0,1.0,True
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,0.8834976839866615,1.116122528760306e-05,0.0001527058550712,CRC_higher,Methanobrevibacter,Methanobrevibacter smithii,0.7869030443339398,0.2043143319418041,0.0001174284621329,0.0011045614719378,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans,-1.075536834096496,1.6964394558583948e-05,0.0002220122940058,control_higher,Ruminococcus,Ruminococcus bicirculans,-1.0475096063902518,0.2564025683663815,4.39990608687452e-05,0.0004905080489441,control_higher,-1.0,-1.0,True
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum,-0.5549360832720062,2.1833204647936488e-05,0.0002738247749595,control_higher,Bifidobacterium,Bifidobacterium catenulatum,-0.5536058637352121,0.1381644941284606,6.153116170913879e-05,0.000617362655815,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia|s__Bulleidia_extructa,0.2960231658926474,2.468338348451931e-05,0.0002971879371536,CRC_higher,Bulleidia,Bulleidia extructa,0.3174619911184332,0.0726869034119343,1.2566144076684222e-05,0.000157600390295,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis,0.7031558973584563,3.780069831393499e-05,0.0004376157766344,CRC_higher,Anaerotruncus,Anaerotruncus colihominis,0.8158088910679817,0.1739841350976497,2.745643493289004e-06,4.132193457399951e-05,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_251,-0.8488170583554075,5.696396944506158e-05,0.0006350427704801,control_higher,Eubacterium,Eubacterium sp CAG 251,-0.8579230016518532,0.2168011922065834,7.58373531970631e-05,0.0007363562358811,control_higher,-1.0,-1.0,True
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa,0.777332224866837,6.44838028073049e-05,0.0006796920457096,CRC_higher,Butyricimonas,Butyricimonas virosa,0.74785006332635,0.1989680840181718,0.000170837159501,0.0014691995717089,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_sp_An100,-0.2927014794775139,6.550255351040919e-05,0.0006796920457096,control_higher,Flavonifractor,Flavonifractor sp An100,-0.2566302765674163,0.0753285044976702,0.0006572566771912,0.004600796740339,control_higher,-1.0,-1.0,True
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Denitrobacterium|s__Denitrobacterium_detoxificans,-0.2178539616079004,6.774339326009744e-05,0.0006796920457096,control_higher,Denitrobacterium,Denitrobacterium detoxificans,-0.2121378328231294,0.0573891560802573,0.0002186099950511,0.0017784218516322,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_sp_CAG_357,-0.6141610894209377,7.673899267605854e-05,0.0007451108643707,control_higher,Dialister,Dialister sp CAG 357,-0.5314643321467661,0.1555529068661637,0.0006340497177195,0.0045440229769897,control_higher,-1.0,-1.0,True
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified|s__Proteobacteria_bacterium_CAG_139,-0.7583414962591689,9.222590418871352e-05,0.000867499911275,control_higher,Proteobacteria_unclassified,Proteobacteria bacterium CAG 139,-0.6447994501543404,0.195786328920518,0.0009898938175287,0.0063395327463013,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimonas|s__Intestinimonas_butyriciproducens,0.7183197082277059,0.0001019878448521,0.0009092630180043,CRC_higher,Intestinimonas,Intestinimonas butyriciproducens,0.7692191431199109,0.1887685274118093,4.602755344597956e-05,0.0004947961995442,CRC_higher,1.0,1.0,True
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii,0.4951827158394523,0.0001027074505386,0.0009092630180043,CRC_higher,Bacteroides,Bacteroides nordii,0.4932618508569582,0.1305215634083118,0.0001573583937056,0.0013930846031003,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_PC13,-0.2435684100616883,0.0001081538442651,0.0009301230606802,control_higher,Oscillibacter,Oscillibacter sp PC13,-0.2425286517843954,0.0653739093706088,0.0002073663675448,0.0017338132397496,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_253,-0.4379685872397419,0.0001146239070798,0.0009414117838335,control_higher,Clostridium,Clostridium sp CAG 253,-0.4642220625439467,0.1151812903297536,5.569149725530761e-05,0.0005780393335809,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_diversum,0.5459574361614801,0.0001157217142918,0.0009414117838335,CRC_higher,Mogibacterium,Mogibacterium diversum,0.4255817989929188,0.1442920855075078,0.0031834359618223,0.0152097495953736,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii,0.6124553363805069,0.0001231862505672,0.0009757647742297,CRC_higher,Flavonifractor,Flavonifractor plautii,0.6989970155498768,0.1590413635915025,1.1073998144521263e-05,0.0001449249322391,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38,-0.9020496753678894,0.0001446259495263,0.001115888939195,control_higher,Eubacterium,Eubacterium sp CAG 38,-0.8327019792523858,0.2433032931788817,0.0006205142023044,0.0045440229769897,control_higher,-1.0,-1.0,True
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii,-0.2591408151542685,0.0001482908889295,0.001115888939195,control_higher,Actinomyces,Actinomyces naeslundii,-0.3069454345464806,0.07098219565238,1.5304505490154046e-05,0.0001771790827898,control_higher,-1.0,-1.0,True
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas|s__Turicimonas_muris,-0.558509662525809,0.0002038279047643,0.001496395105709,control_higher,Turicimonas,Turicimonas muris,-0.4709769375183125,0.1508527656916506,0.0017956788383832,0.0096833891513822,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,-0.6574137431575364,0.0002312911927945,0.001657586881694,control_higher,Anaerostipes,Anaerostipes hadrus,-0.600621538118338,0.1808524404555527,0.0008967673242674,0.0059983769912114,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_167,-0.4748514289459292,0.0003197198088737,0.002238038662116,control_higher,Clostridium,Clostridium sp CAG 167,-0.4594889005133606,0.133791903912379,0.0005939656501693,0.0044695915175245,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus,-0.6994577301803644,0.0003385113216806,0.0022959525767279,control_higher,Streptococcus,Streptococcus thermophilus,-0.6255213388921583,0.1991344721371926,0.0016825669925601,0.0095557106558606,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis,0.6119152063411917,0.0003432487240955,0.0022959525767279,CRC_higher,Streptococcus,Streptococcus oralis,0.4835642346924782,0.1739640033858827,0.0054412513567601,0.0224358446354083,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_309,-0.4035062541523151,0.0003921955348881,0.0025663229565509,control_higher,Roseburia,Roseburia sp CAG 309,-0.4400601075232528,0.1147596333685385,0.0001257562368545,0.0011470493119157,control_higher,-1.0,-1.0,True
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis,-0.4445974473475702,0.0004292183862828,0.0026963518833963,control_higher,Bifidobacterium,Bifidobacterium animalis,-0.4070371094316889,0.1298860401410528,0.0017255735349041,0.0096184747038173,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum,-0.7629992161760278,0.0004299830245947,0.0026963518833963,control_higher,Eubacterium,Eubacterium ventriosum,-0.7274233461725939,0.222142846670789,0.0010582115597906,0.0066358683228535,control_higher,-1.0,-1.0,True
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter|s__Asaccharobacter_celatus,-0.6147113597255389,0.0004584594479902,0.0028162508947969,control_higher,Asaccharobacter,Asaccharobacter celatus,-0.582212038155761,0.1785895398816099,0.0011138991671439,0.006806825117904,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_haemolysans,0.4552178379985373,0.0007512757983199,0.004522680305886,CRC_higher,Gemella,Gemella haemolysans,0.358501195894578,0.1382497900820502,0.0095103777203412,0.0332863220211942,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii,-0.3250606314970758,0.0008394101848803,0.0049541659931176,control_higher,Lactobacillus,Lactobacillus delbrueckii,-0.2999594487527018,0.0968736695948904,0.0019588716074854,0.0103442167342652,control_higher,-1.0,-1.0,True
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae,-0.6416080850142403,0.0009481093677228,0.005418308201165,control_higher,Haemophilus,Haemophilus parainfluenzae,-0.8354397284379539,0.1925136333155971,1.4271677787718868e-05,0.0001718310005641,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_producta,-0.4297237689567928,0.0009540542679792,0.005418308201165,control_higher,Blautia,Blautia producta,-0.4280154860602855,0.1314621396625346,0.0011307018468279,0.006806825117904,control_higher,-1.0,-1.0,True
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,0.7885342499104881,0.0010007110043727,0.005578037265115,CRC_higher,Escherichia,Escherichia coli,0.6277887421315738,0.2443954268385005,0.0102068484022909,0.0349120610123816,CRC_higher,1.0,1.0,True
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,-0.5973791872842259,0.0011011782531264,0.0060264482580191,control_higher,Adlercreutzia,Adlercreutzia equolifaciens,-0.563931455661364,0.1869285541407013,0.0025543398471751,0.0130314626101649,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Lactonifactor|s__Lactonifactor_longoviformis,-0.2678334076841589,0.0012834105554466,0.0068983317355256,control_higher,Lactonifactor,Lactonifactor longoviformis,-0.2399344048998923,0.0859944439181243,0.0052689290813801,0.022027050742992,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus,-0.2835432810300397,0.0013449962000413,0.0071025237932005,control_higher,Pseudoflavonifractor,Pseudoflavonifractor capillosus,-0.2374900244035979,0.0884804900728808,0.0072726478481059,0.0277491623628465,control_higher,-1.0,-1.0,True
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum,0.2937655987892299,0.0014247450412915,0.0073939354729096,CRC_higher,Atopobium,Atopobium parvulum,0.2297277652208793,0.0933313225980562,0.01383875079493,0.0408378822477838,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis,0.5348556244663206,0.0015235482240618,0.0077726782278407,CRC_higher,Holdemania,Holdemania filiformis,0.5811018547852222,0.1732412019926062,0.0007956788906951,0.005443166956801,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans,-0.57937391766472,0.0017078668631315,0.0085677987633764,control_higher,Fusicatenibacter,Fusicatenibacter saccharivorans,-0.5513885514277389,0.1883546506053498,0.0034181393680717,0.0158286146121476,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis,-0.5053573791314576,0.0018311598655652,0.0089713334767512,control_higher,Turicibacter,Turicibacter sanguinis,-0.5303264503036733,0.166625151827984,0.0014588276409716,0.008444367691009,control_higher,-1.0,-1.0,True
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,-0.75014228723353,0.0018479158656431,0.0089713334767512,control_higher,Bifidobacterium,Bifidobacterium pseudocatenulatum,-0.6024768753749761,0.2460383306260154,0.014336825401745,0.0418969363682064,control_higher,-1.0,-1.0,True
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea,0.5652543068933465,0.0019192271528308,0.0091696408413027,CRC_higher,Prevotella,Prevotella stercorea,0.5430377053705113,0.1853308256585621,0.0033885380225151,0.0158286146121476,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris,-0.7158501231598261,0.0022068825808709,0.0103792446381589,control_higher,Ruminococcus,Ruminococcus lactaris,-0.7939663561509661,0.239899612682135,0.0009343690067498,0.0061140232832978,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_caccae,-0.2614173713053727,0.0025421584642335,0.0117721491959124,control_higher,Anaerostipes,Anaerostipes caccae,-0.2411686060708517,0.0875797112750823,0.00589250245101,0.0239681518615408,control_higher,-1.0,-1.0,True
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis,-0.6407242442972728,0.0028622787771186,0.0129833258484206,control_higher,Parasutterella,Parasutterella excrementihominis,-0.4965061404144634,0.2180553900003657,0.0227878640515521,0.0591305782716998,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rogosae,-0.4618512064471073,0.0029604791680209,0.0129833258484206,control_higher,Lactobacillus,Lactobacillus rogosae,-0.4192655491638263,0.1593161128266906,0.0084969306714198,0.0308141702662334,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis,0.5143401722126136,0.0029916568152024,0.0129833258484206,CRC_higher,Streptococcus,Streptococcus mitis,0.3966274229230278,0.177802132363455,0.0256994396004596,0.0644627609978197,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae,-0.4456112486249335,0.0029942993750004,0.0129833258484206,control_higher,Blautia,Blautia wexlerae,-0.4393177794726398,0.1521383766530911,0.0038816883083529,0.0174386295643916,control_higher,-1.0,-1.0,True
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,-0.6404619720679334,0.0030193781042838,0.0129833258484206,control_higher,Bifidobacterium,Bifidobacterium bifidum,-0.6043338685129447,0.2215058432065575,0.0063662137681849,0.0255497379229822,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_bolteae,0.5502677803936538,0.0033019899438957,0.0138234367469061,CRC_higher,Lachnoclostridium,Clostridium bolteae,0.6040073196593623,0.1881877576372801,0.0013292006560984,0.0078448901467768,CRC_higher,1.0,1.0,True
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia,0.5222718070673509,0.0033981018267144,0.0138234367469061,CRC_higher,Bilophila,Bilophila wadsworthia,0.5534332926255824,0.1805730569190185,0.0021776322772277,0.0113011606111304,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_paraputrificum,-0.2955213929396312,0.0034258509472209,0.0138234367469061,control_higher,Clostridium,Clostridium paraputrificum,-0.3580510273006771,0.1033386528203577,0.0005305636432627,0.0040948629903096,control_higher,-1.0,-1.0,True
